timestamp_ms,sample_index,ldr_raw,led_state,active_mode,scenario_tag
41100,411,0,0,1,steady_dark
41200,412,0,1,1,steady_dark
41300,413,0,1,1,steady_dark
41400,414,0,1,1,steady_dark
41500,415,0,1,1,steady_dark
41600,416,0,1,1,steady_dark
41700,417,0,1,1,steady_dark
41800,418,0,1,1,steady_dark
41900,419,0,1,1,steady_dark
42000,420,0,1,1,steady_dark
42100,421,0,1,1,steady_dark
42200,422,0,1,1,steady_dark
42300,423,0,0,1,steady_dark
42400,424,0,0,1,steady_dark
42500,425,0,0,1,steady_dark
42600,426,0,0,1,steady_dark
42700,427,0,0,1,steady_dark
42800,428,0,0,1,steady_dark
42900,429,0,0,1,steady_dark
43000,430,0,0,1,steady_dark
43100,431,0,0,1,steady_dark
43200,432,0,0,1,steady_dark
43300,433,0,0,1,steady_dark
43400,434,0,0,1,steady_dark
43500,435,0,0,1,steady_dark
43600,436,0,0,1,steady_dark
43700,437,0,0,1,steady_dark
43800,438,0,0,1,steady_dark
43900,439,0,0,1,steady_dark
44000,440,0,0,1,steady_dark
44100,441,0,0,1,steady_dark
44200,442,0,0,1,steady_dark
44300,443,0,0,1,steady_dark
44400,444,0,0,1,steady_dark
44500,445,0,0,1,steady_dark
44600,446,0,0,1,steady_dark
44700,447,0,0,1,steady_dark
44800,448,0,0,1,steady_dark
44900,449,0,0,1,steady_dark
45000,450,0,0,1,steady_dark
45100,451,0,0,1,steady_dark
45200,452,0,0,1,steady_dark
45300,453,0,0,1,steady_dark
45400,454,0,0,1,steady_dark
45500,455,0,0,1,steady_dark
45600,456,0,0,1,steady_dark
45700,457,0,0,1,steady_dark
45800,458,0,0,1,steady_dark
45900,459,0,0,1,steady_dark
46000,460,0,0,1,steady_dark
46100,461,0,0,1,steady_dark
46200,462,0,0,1,steady_dark
46300,463,0,0,1,steady_dark
46400,464,0,0,1,steady_dark
46500,465,0,0,1,steady_dark
46600,466,0,0,1,steady_dark
46700,467,0,0,1,steady_dark
46800,468,0,0,1,steady_dark
46900,469,0,0,1,steady_dark
47000,470,0,0,1,steady_dark
47100,471,0,0,1,steady_dark
47200,472,0,1,1,steady_dark
47300,473,0,1,1,steady_dark
47400,474,0,1,1,steady_dark
47500,475,0,1,1,steady_dark
47600,476,0,1,1,steady_dark
47700,477,0,1,1,steady_dark
47800,478,0,1,1,steady_dark
47900,479,0,1,1,steady_dark
48000,480,0,1,1,steady_dark
48100,481,0,1,1,steady_dark
48200,482,0,1,1,steady_dark
48300,483,0,0,1,steady_dark
48400,484,0,0,1,steady_dark
48500,485,0,0,1,steady_dark
48600,486,0,0,1,steady_dark
48700,487,0,0,1,steady_dark
48800,488,0,0,1,steady_dark
48900,489,0,0,1,steady_dark
49000,490,0,0,1,steady_dark
49100,491,0,0,1,steady_dark
49200,492,0,0,1,steady_dark
49300,493,0,0,1,steady_dark
49400,494,0,0,1,steady_dark
49500,495,0,0,1,steady_dark
49600,496,0,0,1,steady_dark
49700,497,0,0,1,steady_dark
49800,498,0,0,1,steady_dark
49900,499,0,0,1,steady_dark
50000,500,0,0,1,steady_dark
50100,501,0,0,1,steady_dark
50200,502,1,0,1,transition_dark_to_light
50300,503,1,0,1,steady_light
50400,504,0,0,1,transition_light_to_dark
50500,505,0,0,1,steady_dark
50600,506,0,0,1,steady_dark
50700,507,0,0,1,steady_dark
50800,508,0,0,1,steady_dark
50900,509,0,0,1,steady_dark
51000,510,0,0,1,steady_dark
51100,511,0,0,1,steady_dark
51200,512,0,0,1,steady_dark
51300,513,0,0,1,steady_dark
51400,514,0,0,1,steady_dark
51500,515,0,0,1,steady_dark
51600,516,0,0,1,steady_dark
51700,517,0,0,1,steady_dark
51800,518,0,1,1,steady_dark
51900,519,0,1,1,steady_dark
52000,520,0,1,1,steady_dark
52100,521,1,1,1,transition_dark_to_light
52200,522,1,1,1,steady_light
52300,523,1,1,1,steady_light
52400,524,1,1,1,steady_light
52500,525,1,1,1,steady_light
52600,526,1,1,1,steady_light
52700,527,1,1,1,steady_light
52800,528,1,1,1,steady_light
52900,529,1,0,1,steady_light
53000,530,1,0,1,steady_light
53100,531,1,0,1,steady_light
53200,532,1,0,1,steady_light
53300,533,1,0,1,steady_light
53400,534,1,0,1,steady_light
53500,535,1,0,1,steady_light
53600,536,1,0,1,steady_light
53700,537,1,0,1,steady_light
53800,538,1,0,1,steady_light
53900,539,1,0,1,steady_light
54000,540,1,0,1,steady_light
54100,541,1,0,1,steady_light
54200,542,1,0,1,steady_light
54300,543,1,0,1,steady_light
54400,544,1,0,1,steady_light
54500,545,1,0,1,steady_light
54600,546,1,0,1,steady_light
54700,547,1,0,1,steady_light
54800,548,1,0,1,steady_light
54900,549,1,0,1,steady_light
55000,550,1,0,1,steady_light
55100,551,1,0,1,steady_light
55200,552,1,0,1,steady_light
55300,553,1,0,1,steady_light
55400,554,1,0,1,steady_light
55500,555,1,0,1,steady_light
55600,556,1,0,1,steady_light
55700,557,1,0,1,steady_light
55800,558,1,0,1,steady_light
55900,559,1,0,1,steady_light
56000,560,1,0,1,steady_light
56100,561,1,0,1,steady_light
56200,562,1,0,1,steady_light
56300,563,1,0,1,steady_light
56400,564,1,0,1,steady_light
56500,565,1,0,1,steady_light
56600,566,1,0,1,steady_light
56700,567,1,0,0,steady_light
56800,568,1,0,0,steady_light
56900,569,1,0,0,steady_light
57000,570,1,0,0,steady_light
57100,571,1,0,0,steady_light
57200,572,1,0,0,steady_light
57300,573,1,0,0,steady_light
57400,574,1,0,0,steady_light
57500,575,1,0,0,steady_light
57600,576,1,0,0,steady_light
57700,577,1,0,0,steady_light
57800,578,0,1,1,transition_light_to_dark
57900,579,1,1,1,transition_dark_to_light
58000,580,1,1,1,steady_light
58100,581,1,1,1,steady_light
58200,582,1,1,1,steady_light
58300,583,1,1,1,steady_light
58400,584,1,1,1,steady_light
58500,585,1,1,1,steady_light
58600,586,1,1,1,steady_light
58700,587,1,1,1,steady_light
58800,588,1,1,1,steady_light
58900,589,1,0,1,steady_light
59000,590,1,0,1,steady_light
59100,591,0,0,1,transition_light_to_dark
59200,592,0,0,1,steady_dark
59300,593,0,0,1,steady_dark
59404,594,0,0,1,steady_dark
59523,595,0,0,1,steady_dark
59600,596,0,0,1,steady_dark
59700,597,0,0,1,steady_dark
59800,598,0,0,1,steady_dark
59900,599,0,0,1,steady_dark
60001,600,0,0,1,steady_dark
60100,601,0,0,1,steady_dark
60200,602,0,0,1,steady_dark
60300,603,0,0,1,steady_dark
60400,604,0,0,1,steady_dark
60500,605,0,0,1,steady_dark
60600,606,0,0,1,steady_dark
60700,607,0,0,1,steady_dark
60800,608,0,0,1,steady_dark
60900,609,0,0,1,steady_dark
61000,610,0,0,1,steady_dark
61100,611,0,0,1,steady_dark
61200,612,0,0,1,steady_dark
61300,613,0,0,1,steady_dark
61400,614,0,0,1,steady_dark
61500,615,0,0,1,steady_dark
61600,616,0,0,1,steady_dark
61700,617,0,0,1,steady_dark
61800,618,1,0,1,transition_dark_to_light
61900,619,1,0,1,steady_light
62000,620,1,0,1,steady_light
62100,621,1,0,1,steady_light
62200,622,1,0,1,steady_light
62300,623,1,0,1,steady_light
62400,624,1,0,1,steady_light
62500,625,1,0,0,steady_light
62600,626,1,0,0,steady_light
62700,627,1,0,0,steady_light
62800,628,1,0,0,steady_light
62900,629,1,0,0,steady_light
63000,630,1,0,0,steady_light
63100,631,1,0,0,steady_light
63200,632,1,0,0,steady_light
63300,633,1,0,0,steady_light
63400,634,1,0,0,steady_light
63500,635,1,0,0,steady_light
63600,636,1,0,0,steady_light
63700,637,1,0,0,steady_light
63800,638,1,0,0,steady_light
63900,639,1,0,0,steady_light
64000,640,1,0,0,steady_light
64100,641,1,0,0,steady_light
64200,642,1,0,0,steady_light
64300,643,1,0,0,steady_light
64400,644,1,0,0,steady_light
64500,645,1,0,0,steady_light
64600,646,1,0,0,steady_light
64700,647,1,0,0,steady_light
64800,648,1,0,0,steady_light
64900,649,1,0,0,steady_light
65000,650,1,0,0,steady_light
65100,651,1,0,0,steady_light
65200,652,1,0,0,steady_light
65300,653,1,0,0,steady_light
65400,654,1,0,0,steady_light
65500,655,1,0,0,steady_light
